TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLAYOFF_RANKING,SEASON,UNIQUE_ID
1610612741,Chicago Bulls,82,69,13,0.841,52.5,43.6,92.0,0.473,7.0,18.7,0.373,18.4,24.6,0.747,16.4,32.7,49.1,28.5,14.7,9.5,4.4,3.8,21.5,0.2,112.4,11.8,10,Chicago Bulls,38.5,88.4,0.436,6.3,18.7,0.335,17.3,23.5,0.737,14.5,29.3,43.8,21.5,17.2,8.3,3.8,4.4,23.0,21.5,100.7,5,1996-97,1610612741199697
1610612762,Utah Jazz,82,64,18,0.78,52.7,41.6,82.7,0.504,4.4,12.0,0.37,24.7,32.1,0.769,11.8,32.0,43.9,29.2,16.7,9.9,5.6,5.0,26.3,0.2,112.4,9.6,10,Utah Jazz,36.0,82.3,0.438,6.9,19.7,0.352,23.9,31.8,0.75,12.7,27.9,40.7,21.2,17.7,8.5,5.0,5.6,27.2,26.3,102.8,4,1996-97,1610612762199697
1610612745,Houston Rockets,82,57,25,0.695,51.7,39.6,84.5,0.468,8.7,24.0,0.365,19.6,26.0,0.755,12.1,33.4,45.5,26.2,17.8,9.0,4.5,4.8,21.0,0.2,107.5,4.8,10,Houston Rockets,39.5,89.2,0.443,6.8,20.2,0.335,17.0,23.3,0.729,13.4,30.4,43.8,23.9,15.3,9.5,4.8,4.5,22.6,21.0,102.7,3,1996-97,1610612745199697
1610612748,Miami Heat,82,61,21,0.744,53.6,38.2,84.3,0.453,9.2,25.2,0.364,19.7,27.4,0.719,12.9,32.5,45.4,23.5,17.7,8.8,5.9,5.3,26.0,0.3,105.2,6.1,10,Miami Heat,36.3,84.2,0.432,5.6,15.3,0.362,20.8,28.5,0.731,13.5,31.4,44.9,20.5,17.9,8.8,5.3,5.9,24.8,26.0,99.1,3,1996-97,1610612748199697
1610612737,Atlanta Hawks,82,56,26,0.683,54.2,38.5,86.3,0.446,9.0,25.1,0.36,20.4,26.8,0.763,14.0,32.2,46.2,21.3,16.8,9.6,5.8,4.5,21.8,0.1,106.4,6.1,10,Atlanta Hawks,38.4,88.3,0.435,6.6,19.2,0.347,16.9,22.9,0.737,14.3,30.4,44.8,22.8,17.3,8.3,4.5,5.8,23.9,21.8,100.3,2,1996-97,1610612737199697
1610612747,Los Angeles Lakers,82,56,26,0.683,51.7,39.2,86.2,0.454,7.2,19.5,0.367,20.9,30.2,0.692,14.2,31.3,45.5,23.9,15.9,9.6,7.5,5.0,23.6,0.1,106.4,4.5,10,Los Angeles Lakers,37.9,85.9,0.441,6.2,17.9,0.347,19.8,27.6,0.718,14.4,30.7,45.1,24.4,17.4,8.0,5.0,7.5,25.1,23.6,101.9,2,1996-97,1610612747199697
1610612760,Seattle SuperSonics,82,57,25,0.695,52.4,39.7,85.0,0.467,7.4,21.0,0.353,22.9,30.4,0.752,13.4,30.1,43.4,25.6,16.3,12.0,5.1,5.6,23.9,0.2,109.6,8.4,10,Seattle SuperSonics,36.5,82.9,0.441,8.1,21.8,0.372,20.0,27.0,0.741,13.4,29.9,43.3,23.2,20.3,8.4,5.6,5.1,25.5,23.9,101.2,2,1996-97,1610612760199697
1610612757,Portland Trail Blazers,82,49,33,0.598,52.0,39.3,84.7,0.464,6.6,18.3,0.358,21.1,29.6,0.713,13.9,32.7,46.5,22.4,17.8,8.4,5.7,5.6,25.3,0.2,106.3,4.5,10,Portland Trail Blazers,36.6,84.1,0.436,6.0,16.8,0.357,22.5,30.5,0.739,12.5,28.8,41.2,22.3,16.3,8.6,5.6,5.7,24.7,25.3,101.8,1,1996-97,1610612757199697
1610612753,Orlando Magic,82,45,37,0.549,53.4,38.2,87.3,0.437,7.6,22.3,0.341,19.8,26.6,0.746,14.4,29.9,44.3,22.7,16.8,9.4,4.9,5.6,22.1,0.1,103.8,-0.4,10,Orlando Magic,39.9,86.7,0.46,6.1,17.8,0.343,18.3,25.0,0.732,14.5,32.2,46.8,24.2,17.7,9.5,5.6,4.9,23.8,22.1,104.2,1,1996-97,1610612753199697
1610612750,Minnesota Timberwolves,82,40,42,0.488,52.1,38.7,84.8,0.456,4.9,14.4,0.339,21.6,28.7,0.751,12.6,30.3,42.9,24.7,16.4,8.1,7.3,5.9,24.0,0.2,103.9,-1.6,10,Minnesota Timberwolves,38.8,86.2,0.45,6.2,17.0,0.362,21.7,28.8,0.754,14.1,31.1,45.2,23.5,16.9,8.6,5.9,7.3,24.1,24.0,105.5,1,1996-97,1610612750199697
1610612764,Washington Bullets,82,44,38,0.537,51.3,41.4,86.2,0.48,4.3,12.9,0.331,18.1,25.5,0.707,13.1,31.2,44.3,24.8,16.7,9.2,5.2,4.3,23.4,0.2,105.2,1.7,10,Washington Bullets,38.9,85.7,0.454,6.4,17.1,0.371,19.4,25.9,0.749,13.2,30.2,43.3,21.6,17.5,8.6,4.3,5.2,22.8,23.4,103.5,1,1996-97,1610612764199697
1610612746,Los Angeles Clippers,82,36,46,0.439,51.7,38.8,86.9,0.446,6.2,17.4,0.354,19.7,26.9,0.731,14.2,29.1,43.3,21.6,17.0,9.5,5.7,5.4,25.5,0.1,103.5,-2.5,10,Los Angeles Clippers,38.6,83.7,0.462,6.2,17.4,0.357,22.5,30.0,0.749,13.6,31.8,45.4,21.5,17.8,9.6,5.4,5.7,24.1,25.5,106.0,1,1996-97,1610612746199697
1610612765,Detroit Pistons,82,54,28,0.659,55.7,39.7,85.6,0.464,8.2,21.1,0.388,20.9,28.0,0.745,12.1,32.2,44.2,21.8,14.6,8.9,4.0,3.9,23.2,0.2,108.5,6.0,10,Detroit Pistons,38.9,87.5,0.444,7.4,20.1,0.369,17.3,23.4,0.737,13.5,31.8,45.3,25.2,16.8,6.9,3.9,4.0,25.1,23.2,102.4,1,1996-97,1610612765199697
